from,to,distance,mpg,gallons,avg_weather,weight
Manchester,Portland,75.64,45.075782172072905,1.6780629498840605,3.0,4.67806294988406
Burlington,Manchester,134.76,44.98630545393403,2.995578290775494,3.0,5.995578290775494
Boston,Manchester,48.34,44.87274327486899,1.07726865959347,1.0,2.0772686595934697
Boston,Burlington,181.81,44.97631531233165,4.0423498176194785,3.0,7.0423498176194785
Burlington,New York City,263.15,44.982254926407286,5.8500846707334615,7.5,13.350084670733462
Albany,Burlington,128.88,45.01648894133568,2.8629509548812897,7.5,10.36295095488129
Buffalo,Burlington,303.53,45.036848776923854,6.739592317025604,5.0,11.739592317025604
Boston,Providence,41.25,45.006778611672544,0.9165286046333869,1.0,1.916528604633387
Boston,Hartford,92.43,45.00393273883955,2.053820508007082,5.5,7.553820508007082
Boston,New York City,190.21,44.9980889382738,4.227068404192028,5.5,9.727068404192028
Albany,Boston,138.82,45.04632767486188,3.0817162500344852,5.5,8.581716250034486
Boston,Buffalo,398.96,45.03882800863415,8.85813458386434,3.0,11.85813458386434
Hartford,Providence,65.06,45.00128935320394,1.4457363541155506,5.5,6.94573635411555
Hartford,New York City,100.44,44.99276178711788,2.2323590731155676,10.0,12.232359073115568
Albany,Hartford,82.57,45.073485585241436,1.8318973766483275,10.0,11.831897376648328
Buffalo,Hartford,326.1,45.0463885902292,7.239204078409359,7.5,14.739204078409358
New York City,Philadelphia,80.54,45.00208307224851,1.789694931914534,7.5,9.289694931914534
New York City,Pittsburgh,314.62,45.105760949868404,6.975162227052904,7.5,14.475162227052904
New York City,Newark,8.86,44.990532130987845,0.19693032245550066,7.5,7.696930322455501
Albany,Philadelphia,200.41,44.96693308599186,4.456830525149421,7.5,11.956830525149421
Albany,Pittsburgh,356.73,45.07422924669171,7.914278423877493,7.5,15.414278423877493
Albany,Newark,134.22,44.94875133218065,2.9860673772244795,7.5,10.48606737722448
Buffalo,Philadelphia,279.52,44.943880385171994,6.219311675015493,5.0,11.219311675015494
Buffalo,Pittsburgh,178.44,45.097624886079224,3.9567493953563178,5.0,8.956749395356319
Buffalo,Newark,284.33,44.943944674515286,6.326324982355733,5.0,11.326324982355732
Newark,Philadelphia,75.24,44.99665529029315,1.6721242837849564,5.0,6.672124283784957
Philadelphia,Wilmington,24.74,45.068943741394655,0.5489367610201379,5.0,5.548936761020138
Baltimore,Philadelphia,89.58,44.99812714178505,1.9907495198131575,5.0,6.990749519813157
Charleston,Philadelphia,363.59,45.042912812281074,8.072080096491144,5.0,13.072080096491144
Columbus,Philadelphia,414.59,45.058204515853724,9.201209956205124,3.0,12.201209956205124
Cleveland,Philadelphia,357.97,45.047960803178015,7.946419629603882,5.0,12.94641962960388
Newark,Pittsburgh,306.41,44.89113150560672,6.825624343234268,5.0,11.825624343234267
Pittsburgh,Wilmington,240.67,44.86952644182242,5.363774015133664,5.0,10.363774015133664
Baltimore,Pittsburgh,196.47,44.83063821424341,4.382493933302479,5.0,9.382493933302479
Charleston,Pittsburgh,168.95,44.89639496897647,3.763108376891839,5.0,8.76310837689184
Columbus,Pittsburgh,161.95,44.94457715850012,3.6033268135746894,3.0,6.603326813574689
Cleveland,Pittsburgh,115.01,44.86141891405037,2.5636728124972317,5.0,7.563672812497232
Newark,Wilmington,99.7,45.01963213761733,2.2145893972486075,5.0,7.2145893972486075
Baltimore,Wilmington,65.04,44.97119559039054,1.446259080865926,5.0,6.446259080865926
Baltimore,Richmond,128.83,45.0288668464554,2.8610535645789033,7.5,10.361053564578903
Baltimore,Charleston,277.82,45.05676495592892,6.165999717728121,5.0,11.16599971772812
Charleston,Richmond,235.29,45.05121987431392,5.222722062941324,7.5,12.722722062941324
Charlotte,Richmond,247.79,45.066014113936426,5.4983784315500905,10.0,15.49837843155009
Raleigh,Richmond,138.7,45.03003824224396,3.0801661605048687,10.0,13.080166160504868
Louisville,Richmond,456.22,45.018387032450946,10.134081429242222,7.5,17.634081429242222
Nashville,Richmond,525.09,45.022951349725425,11.66271833050772,7.5,19.162718330507722
Memphis,Richmond,720.48,45.00663649679175,16.00830579844283,7.5,23.50830579844283
Charleston,Columbus,133.18,45.06403619770625,2.9553500138271867,3.0,5.955350013827187
Charleston,Cleveland,217.63,45.00719505259549,4.835449081989606,5.0,9.835449081989605
Charleston,Louisville,223.82,44.98363420479604,4.975587320958094,5.0,9.975587320958095
Charlotte,Columbia,85.52,44.84992453372893,1.90680365438933,10.0,11.90680365438933
Atlanta,Charlotte,226.17,45.03696586714252,5.02187471214632,5.5,10.521874712146321
Charlotte,Nashville,339.41,44.98731294580306,7.544571519728078,7.5,15.044571519728077
Charlotte,Memphis,519.76,44.97772784730686,11.555941682170184,7.5,19.055941682170186
Columbia,Raleigh,183.17,44.99648894042457,4.070762059735758,10.0,14.070762059735758
Atlanta,Raleigh,355.03,45.05788779332646,7.879419506490573,5.5,13.379419506490574
Nashville,Raleigh,455.95,45.01729404546131,10.12832978231772,7.5,17.62832978231772
Memphis,Raleigh,643.25,45.0009563295908,14.29414066867341,7.5,21.79414066867341
Atlanta,Columbia,192.99,45.10982446783318,4.278225470321147,5.5,9.778225470321146
Atlanta,Jacksonville,285.37,44.898684257503184,6.355865538583367,5.5,11.855865538583366
Atlanta,Miami,606.59,44.9518750866849,13.494209058693455,5.5,18.994209058693457
Atlanta,Orlando,401.72,44.93262223337533,8.940497572420957,5.5,14.440497572420957
Atlanta,Nashville,214.98,44.941079713291444,4.783596686405803,3.0,7.783596686405803
Atlanta,Memphis,336.83,44.94081066337497,7.49496938368545,3.0,10.49496938368545
Columbus,Detroit,163.84,44.94845913396563,3.6450637720791885,3.0,6.6450637720791885
Columbus,Indianapolis,168.1,44.96922707892558,3.738111836011043,1.0,4.7381118360110435
Columbus,Louisville,189.35,44.93561482390774,4.213806815418432,3.0,7.213806815418432
Cleveland,Detroit,90.19,44.98356831159874,2.004954328550789,5.0,7.004954328550789
Cleveland,Indianapolis,262.78,45.00681008250837,5.838671959160417,3.0,8.838671959160417
Cleveland,Louisville,311.02,44.983188053569194,6.914138669531718,5.0,11.914138669531718
Detroit,Indianapolis,240.07,45.013627389754916,5.333273808869707,3.0,8.333273808869707
Indianapolis,Louisville,106.95,44.93437676427808,2.3801376073613,3.0,5.3801376073613
Louisville,Nashville,154.97,45.02363678313577,3.4419698423394833,5.0,8.441969842339484
Louisville,Memphis,320.05,44.98872967118809,7.1140039369675305,5.0,12.114003936967531
